block_number,tx_hash,log_index,fpmm,seller,returnAmount,feeAmount,outcomeIndex,outcomeTokensSold
15990792,0xc13a3cf7cb649921cd33a3aa6356b4a0dee69f726fe42c2542cf07af64160996,460,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,39669061,809572,1,3332999901
15990792,0x401d91611e705bd2c805262832ac1563b8bf4a4846391c72aca856d7f82cfe3b,507,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0xf97da6616e2fbcd998b2aeb6ec72faa0b7725ed0,44298691,904054,1,49299731
15990797,0xb486dbdb60667f47add2f230cbe23e1aab2cd29f1a85d728abfb0bdb4ab16189,233,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0xe834edad3c89e41243c796d37f262541d65f6da5,43685938,891549,1,51985517
15990799,0x33dcc7326e67155707d75a4784ebe94dafb7254fda65ff660f65f98b52d84a26,273,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0xf97da6616e2fbcd998b2aeb6ec72faa0b7725ed0,2579553,52643,1,3163940
15990803,0xc6f667de7227fed516d11ecbcc00040240a3c255773673542aa449f5093ae5e2,563,0xcb513d589d3e3b463788fb2b764b7d5cd3aaaf3d,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,13538851,6772,0,99999992
15990823,0x7132be6fae3a7acb6abc0505c9b56bfad2e8213b7e711adf9c2f1e1b83778a2f,547,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,52547781,1072403,1,947267530
15990914,0xbbd30cf50533cfed7ce3f2f3c1981587b9a6bcc9cb0275e9b2ef3ced4bdb2387,477,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,43901638,895951,1,1136037687
15990949,0x8e45fe8385a62ad36f7f1193e6c0c836d6b7676f68310e92c81fd30115223b0d,161,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,61828116,1261798,1,2222000000
15990952,0x5c8e06c1d1ed01d4228ad902d39403361702051be9842e017b03ccc49188e5f1,259,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0xf97da6616e2fbcd998b2aeb6ec72faa0b7725ed0,7710062,157348,0,25999998
15990963,0xc5339238de310be5815c6920445feb65b7d2ca058da63dd327a8d2f53d3ed2cf,152,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,4141213,84514,1,189134749
15990965,0x0a17a97af9b83baa67ee767b5f53dcc9dc5b321f09a6a9e25c75c6f8e1b15c59,212,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,57864199,1180902,1,3456169310
15990978,0x84812533e037ef0f5f5111c498628c15b07fe210df445112ffb02614930e8c9b,391,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,12196270,248903,1,999999988
15990978,0x2d21d2dbdd2e613ccc758c5387290c8d10eb8812c5f27aeed5f4d1f6b95d6055,414,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0xf97da6616e2fbcd998b2aeb6ec72faa0b7725ed0,46442,947,0,502690
15990989,0xd32731fc209039d7d0a245fcf1460c86fcf9574fe378c41e00fdd75b91f42093,115,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x903221b1098263779ae19486028c844e8c338717,5775732,117872,0,75445392
15990992,0xf43b5eca2ff090a21cf67fea8232103ea897976fe435a68c741d32c1fc324fdb,117,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xe834edad3c89e41243c796d37f262541d65f6da5,35579951,726121,1,3839999882
15991011,0x32a0a3000c49f0ae67d1014d93c6af05cfca3e7e56baf31b96d7f2782399599e,598,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xe834edad3c89e41243c796d37f262541d65f6da5,25380,517,1,2992451
15991012,0x1f65d8a8386d24d46acad10d22b4de57a63f81e2dfe5887bd115da230c713e35,271,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x932e564acc849074725204b8925ecdd41ec06903,7138784,145689,1,881166546
15991020,0x15f5e594157e6e76a700124a15b4f6de7cf80ebde812960b506a8f68d832806f,423,0x4568e4dc02ab786893f3f97c16e31faa836c8958,0x376441d19f56d43629d3872324dc2e648e13c5eb,102693356,2095782,1,190265574
15991034,0x794e8ce52c47b12ad6162436e50b7419cfe59b5dc841b2d4d12413f8a6781046,77,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,5017738,102402,0,97383114
15991052,0x4dac66a5379b444537cb14e73f2dedc455b4cc3a9570426d4a6c58a3a148b9f3,540,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0xe834edad3c89e41243c796d37f262541d65f6da5,110973235,2264759,1,299999997
15991123,0xab979ec068a95ea1c1cbbddbce029a6e131d68a37581cf8d5496655b23528c6f,641,0x375beafdbd211c932c70613253554df9f7601eb7,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,16113875,8060,0,99999996
15991150,0x2533064984207eec3b2351b5b005216dbece5862c3d7717a550b60c7dc8fe73d,183,0xc33cb94861d63c47fdab2419f82ba54aff667540,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,1374879,28058,0,95291334
15991161,0x7582977aff85f528fe8f2dd4558fc711a35af78a25f2ddadff6addffb9f82c2c,154,0xc33cb94861d63c47fdab2419f82ba54aff667540,0xe834edad3c89e41243c796d37f262541d65f6da5,4442603,90665,0,536624768
15991161,0x5e1700654a9335d9fd038940254a2396c38fb9d52ad825161ca3e32a3193f665,164,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,63712626,1300257,1,6665999950
15991168,0x0994d5eb1134ad13e5b308e0e36439b3df7db2fd4046db51c0813010ece8de0b,408,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,426735,8708,1,64999811
15991176,0xebe808b8dde034a3c7889e91ff4a7a5798839c6677173e73153bd34b7d028fa1,293,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,5007,102,1,764983
15991178,0xc29b155c75bfdaa9e350aea1cea58b93ce49245517244716d2b609133f14a6c1,518,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x52b778f39b2f97aa3f826dc53e7ac48a10535bf9,3198000,65265,1,500036102
15991185,0xf1959ae62b2f8e0e2d68a8dba08e50e59623842216a7327b955323790323a6a4,103,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x52b778f39b2f97aa3f826dc53e7ac48a10535bf9,3054929,62345,1,499963820
15991205,0xb131ef15995dd65f6df0cad80dce6c372f7f0d1c2d1ce3422756ce17bcb4632c,405,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x903221b1098263779ae19486028c844e8c338717,899392,18354,1,151568794
15991212,0xb50dc9c7c1a06819cc6494dae46b823b263b20d2aba1b36fc577294404abc93c,243,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,4509433,92029,0,499999948
15991218,0x776c2485dbe21a598de9d387fb3938e2c8d60e12f80dc13671821b79073271a6,195,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xe834edad3c89e41243c796d37f262541d65f6da5,2325,47,1,394401
15991218,0x353ddc720a7bbc98cb68d029ca3df34847ba2447eabb6877e6f50da867c37a0b,208,0x375beafdbd211c932c70613253554df9f7601eb7,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,15483674,7745,0,101000000
15991246,0xe48e255b8ee117a065a08e8d79dfee90fc4033ffb20ca3213bf09545a3d7760f,111,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xe834edad3c89e41243c796d37f262541d65f6da5,24118165,492207,1,4999999903
15991289,0xb7299fe523c4c974468414acab22f955d43711e918b9a7202d2a8c057c28dde7,294,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,26751905,545957,1,8998999838
15991318,0x4588bd50771f9bea07943010d62a9f03498f5354ce016b6d0b14345695ed504f,203,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xe834edad3c89e41243c796d37f262541d65f6da5,10277118,209737,1,5000000033
