block_number,tx_hash,log_index,exchange,orderHash,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee
74990125,0xe16dd47860f3e91a12aa7f0ca09047c8f3ed4e9f7efccb20ece71629414f7327,491,CTFExchange,0x13df401b5445fa71f513f69f37e5b87e5e62c9c5972c731b93ca0b2a0d5e5229,0xbff11fafd73cc217dd19fe8c450230add3503f4f,0xdf238af74be6dace9b93d2d4b728be21d9e6b0f1,0,50619295182456506124322033182425838504826767660410556467844113691500208394153,2940000,6000000,0
74990125,0xe16dd47860f3e91a12aa7f0ca09047c8f3ed4e9f7efccb20ece71629414f7327,493,CTFExchange,0xf69a6bdbf92830e2b7aed5132432b926ec1e9d8df925956fff675c795a419e3d,0xdf238af74be6dace9b93d2d4b728be21d9e6b0f1,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,41570907139597412721297528873197516607514778151104775594062627257549364311735,3060000,6000000,0
74990125,0xcc582d6365ccd718628f97dff39fbb797f6923226de3e76b80d6989280edaf14,514,CTFExchange,0x3380c685587bc7453bb168999f2839f9a6a41ae38863ad837dd73233f8bbeabd,0x12d7110674e7464d2590c0ab96cfa93fddd8cf4b,0x7cad9bd70c88f694f475cd72960d1e70b5ce7c1f,0,19313632579619311110327775357290731950442488134700707142382225318901746295057,140250000,187000000,0
74990125,0xcc582d6365ccd718628f97dff39fbb797f6923226de3e76b80d6989280edaf14,522,CTFExchange,0x5f62ed53ed8f67550aca75cb44441a73c7cb42c00451a71e48269ccf5dd54ff1,0xd3107fdd7b2e42dfbfd543245d914c2d9635be53,0x7cad9bd70c88f694f475cd72960d1e70b5ce7c1f,0,19313632579619311110327775357290731950442488134700707142382225318901746295057,4500000,6000000,0
74990125,0xcc582d6365ccd718628f97dff39fbb797f6923226de3e76b80d6989280edaf14,530,CTFExchange,0xe8b5ef9db05261c9e031f2ea5202df074f9b6de4fb0368a1dc560148892e1a27,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,0x7cad9bd70c88f694f475cd72960d1e70b5ce7c1f,0,19313632579619311110327775357290731950442488134700707142382225318901746295057,562500000,750000000,0
74990125,0xcc582d6365ccd718628f97dff39fbb797f6923226de3e76b80d6989280edaf14,538,CTFExchange,0x3b060d00ebe0d830055ef9615d725f9f83822f8cb2f7f98d371bb8062600f447,0x3b6fd06a595d71c70afb3f44414be1c11304340b,0x7cad9bd70c88f694f475cd72960d1e70b5ce7c1f,0,19313632579619311110327775357290731950442488134700707142382225318901746295057,119250000,159000000,0
74990125,0xcc582d6365ccd718628f97dff39fbb797f6923226de3e76b80d6989280edaf14,546,CTFExchange,0x2a26e2331b76f3b7c6b9470b175c4fcbde5dce11bc8155a20aa554fa9b7f86b4,0xfb1c3c1ab4fb2d0cbcbb9538c8d4d357dd95963e,0x7cad9bd70c88f694f475cd72960d1e70b5ce7c1f,0,19313632579619311110327775357290731950442488134700707142382225318901746295057,2173500000,2898000000,0
74990125,0xcc582d6365ccd718628f97dff39fbb797f6923226de3e76b80d6989280edaf14,548,CTFExchange,0xf84a54e9440c4213e95d4be7decf1c1a6183186861ca050290b6140722794ffc,0x7cad9bd70c88f694f475cd72960d1e70b5ce7c1f,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,64884752137293845215501582090125501955901509923189139676564085768886191651113,1000000000,4000000000,0
74990127,0x031034bed6b8c59445322a5a7fafe8109fc56c8b9c4042c38813778beefe5e00,481,CTFExchange,0x312e813537769c00ff2c6c19b0b00a20751b0c7f28c02c7baf7e88cb92dc11c5,0xe438a4b26fbaeeb7686f2b6792f9c9ba201b5bab,0xf247584e41117bbbe4cc06e4d2c95741792a5216,0,33538269346367082531811581882164613624398355502873703000600625463114260324470,1080000,12000000,0
74990127,0x031034bed6b8c59445322a5a7fafe8109fc56c8b9c4042c38813778beefe5e00,483,CTFExchange,0x44c24740f67c93e5ff3b06639c9207712253a18ab7478c4531f46ecbf5e8b982,0xf247584e41117bbbe4cc06e4d2c95741792a5216,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,33538269346367082531811581882164613624398355502873703000600625463114260324470,0,12000000,1080000,0
74990127,0xc51248f289b63409eb0d6ca3312215c2219110a74121b516a815181fd45311e2,495,CTFExchange,0x312e813537769c00ff2c6c19b0b00a20751b0c7f28c02c7baf7e88cb92dc11c5,0xe438a4b26fbaeeb7686f2b6792f9c9ba201b5bab,0x45e69a8dfb564b7cae9337c55aa230418c45b9c6,0,33538269346367082531811581882164613624398355502873703000600625463114260324470,2547692,28307688,0
74990127,0xc51248f289b63409eb0d6ca3312215c2219110a74121b516a815181fd45311e2,497,CTFExchange,0xe256d93601b407abebb66941fa1ad6683ce09a27a9ff4b5bb95ca594bcf251cd,0x45e69a8dfb564b7cae9337c55aa230418c45b9c6,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,69971608369823879925312121985925443181621746284768809347300855640187943298522,25759996,28307688,0
74990127,0xb1c8294d1669c5f512e38e2414711c8570911a11b52200c7ef8b4740a564736a,511,CTFExchange,0x312e813537769c00ff2c6c19b0b00a20751b0c7f28c02c7baf7e88cb92dc11c5,0xe438a4b26fbaeeb7686f2b6792f9c9ba201b5bab,0x8749194e5105c97c3d134e974e103b44eea44ea4,0,33538269346367082531811581882164613624398355502873703000600625463114260324470,13500000,150000000,0
74990127,0xb1c8294d1669c5f512e38e2414711c8570911a11b52200c7ef8b4740a564736a,513,CTFExchange,0xf6f030ffd51d18d51b9a559a824cf7f6afc524b4753a49334d8d89cf69374513,0x8749194e5105c97c3d134e974e103b44eea44ea4,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,69971608369823879925312121985925443181621746284768809347300855640187943298522,136500000,150000000,0
74990127,0x4aaa1193eb1c1a69c303e633bffff90ec150ac3ca340efde19b21a15a2855063,525,CTFExchange,0x70e1b013ab95434670e388c4220bb128d1f3c2abc530897f92193059907e81df,0x35babd5d42a0d28341fe70e1714253ed370f9cdf,0x0f863d92dd2b960e3eb6a23a35fd92a91981404e,0,68406526802045538051281082136094099491690094060142982139702744638087613497621,1200000,10000000,0
74990127,0x4aaa1193eb1c1a69c303e633bffff90ec150ac3ca340efde19b21a15a2855063,527,CTFExchange,0x5f2f233b3f10ab2504e7d6ec44bef6bb002fd9046b3f44f5d0d3e8302bb6e0c2,0x0f863d92dd2b960e3eb6a23a35fd92a91981404e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,36134769180384332949915849764582975034178749664573490865150509368900714823134,8800000,10000000,0
74990127,0xea8bda8515e920b8b4f0e91f1357a23c15d2e6483aaf5be4a8fed145945bab09,539,CTFExchange,0x312e813537769c00ff2c6c19b0b00a20751b0c7f28c02c7baf7e88cb92dc11c5,0xe438a4b26fbaeeb7686f2b6792f9c9ba201b5bab,0x0f863d92dd2b960e3eb6a23a35fd92a91981404e,0,33538269346367082531811581882164613624398355502873703000600625463114260324470,854505,9494500,0
74990127,0xea8bda8515e920b8b4f0e91f1357a23c15d2e6483aaf5be4a8fed145945bab09,541,CTFExchange,0xd4272f987af3aa67afe34690e0b29860b0038ce30a2b56d770fa6aae6a7f21f5,0x0f863d92dd2b960e3eb6a23a35fd92a91981404e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,69971608369823879925312121985925443181621746284768809347300855640187943298522,8639995,9494500,0
74990127,0xb29c2c4cde09d30e99a92994b10e9a3feb87cb35fe507b434895551c10257509,553,CTFExchange,0x312e813537769c00ff2c6c19b0b00a20751b0c7f28c02c7baf7e88cb92dc11c5,0xe438a4b26fbaeeb7686f2b6792f9c9ba201b5bab,0x8749194e5105c97c3d134e974e103b44eea44ea4,0,33538269346367082531811581882164613624398355502873703000600625463114260324470,22500000,250000000,0
74990127,0xb29c2c4cde09d30e99a92994b10e9a3feb87cb35fe507b434895551c10257509,555,CTFExchange,0xd01600eae54b71dd1079eb93b26dd781f2824b06f080f1de2190053df7b73cdd,0x8749194e5105c97c3d134e974e103b44eea44ea4,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,69971608369823879925312121985925443181621746284768809347300855640187943298522,227500000,250000000,0
74990127,0x8bb0b5bf6d962c057f58eceb84fb9d70975102df81499e1338871da042ad9d20,567,CTFExchange,0x312e813537769c00ff2c6c19b0b00a20751b0c7f28c02c7baf7e88cb92dc11c5,0xe438a4b26fbaeeb7686f2b6792f9c9ba201b5bab,0xc631d9d610b9939f0b915b1916864e9b806876f6,0,33538269346367082531811581882164613624398355502873703000600625463114260324470,21600000,240000000,0
74990127,0x8bb0b5bf6d962c057f58eceb84fb9d70975102df81499e1338871da042ad9d20,569,CTFExchange,0x143f7fa7104c307310c34cd55e60cb7a8948039ef86d8c0a51b388faab0f6abc,0xc631d9d610b9939f0b915b1916864e9b806876f6,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,69971608369823879925312121985925443181621746284768809347300855640187943298522,218400000,240000000,0
74990127,0x0abdf2ca6eef8cc01806590530f48bca8c8326d49eea7c20fb07527fa0dac45e,581,CTFExchange,0x312e813537769c00ff2c6c19b0b00a20751b0c7f28c02c7baf7e88cb92dc11c5,0xe438a4b26fbaeeb7686f2b6792f9c9ba201b5bab,0x76bc5994bf0a12d08a791b897d1fe1affea7205b,0,33538269346367082531811581882164613624398355502873703000600625463114260324470,38070000,423000000,0
74990127,0x0abdf2ca6eef8cc01806590530f48bca8c8326d49eea7c20fb07527fa0dac45e,583,CTFExchange,0xbb96747cd173932258b9f889ba44a98490f26f7c713935b03d6fcc29d0057852,0x76bc5994bf0a12d08a791b897d1fe1affea7205b,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,69971608369823879925312121985925443181621746284768809347300855640187943298522,384930000,423000000,0
74990128,0xecbfbfd1858b60c7313e065643681223c9e90830f1e47f11a91b4c6e2fbe6e8c,1001,CTFExchange,0x79a60c13b079e6608d8e26a99d5831c8f5da377af7368d2218ccac281134347c,0x8d3eb8cf3c1ae59c2f133c376c6fa1e2d37b3099,0x3d2d66eb933cfa7aa7b9fc21e6614f080de99360,0,90427474574934341616713633061252432507092917770494584171178908201475821283851,32000000,40000000,0
74990128,0xecbfbfd1858b60c7313e065643681223c9e90830f1e47f11a91b4c6e2fbe6e8c,1003,CTFExchange,0xd4cd50ae4f1efed36bc23b622aa19942946b18751f01c6984ed0257d526ef450,0x3d2d66eb933cfa7aa7b9fc21e6614f080de99360,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,37416338214899796689612302256239014151772985623515342279333377663934599689230,8000000,40000000,0
74990128,0xa6702307507d72bda67553fa4aeff59ac615b8a00559cfbe39fb0d0be70ae7a0,1015,CTFExchange,0x312e813537769c00ff2c6c19b0b00a20751b0c7f28c02c7baf7e88cb92dc11c5,0xe438a4b26fbaeeb7686f2b6792f9c9ba201b5bab,0x8749194e5105c97c3d134e974e103b44eea44ea4,0,33538269346367082531811581882164613624398355502873703000600625463114260324470,33956100,377290000,0
74990128,0xa6702307507d72bda67553fa4aeff59ac615b8a00559cfbe39fb0d0be70ae7a0,1017,CTFExchange,0x5e8fc39a7a727e975bfe3a17e3b6d80fd229eb8599bd701fd8e06622b7eaef32,0x8749194e5105c97c3d134e974e103b44eea44ea4,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,69971608369823879925312121985925443181621746284768809347300855640187943298522,343333900,377290000,0
74990128,0x2986f7c9cf6c98e66bd4f04aeef1249adbc33b3b78186bffdedc9cdb6793df14,1029,CTFExchange,0x13df401b5445fa71f513f69f37e5b87e5e62c9c5972c731b93ca0b2a0d5e5229,0xbff11fafd73cc217dd19fe8c450230add3503f4f,0xdf238af74be6dace9b93d2d4b728be21d9e6b0f1,0,50619295182456506124322033182425838504826767660410556467844113691500208394153,11760000,24000000,0
74990128,0x2986f7c9cf6c98e66bd4f04aeef1249adbc33b3b78186bffdedc9cdb6793df14,1031,CTFExchange,0xf6e602b6d31bde19e99ed72f3189565d465d4b95f3a660054273b6c9ea1889c2,0xdf238af74be6dace9b93d2d4b728be21d9e6b0f1,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,41570907139597412721297528873197516607514778151104775594062627257549364311735,12240000,24000000,0
74990128,0x2758c844af4663d986df826c1ae2e545d55620ae7cf7f927736707ced2bcc985,1043,CTFExchange,0x948d29cdb3e1b7d2e111fe35d1c93feef13d39492ad3dec53beccd9562567a7f,0xebf79787ab928c803cbef6fa8e0abe42b9e1da78,0x8c6836b69ad1c108f6581ad2e7b6763317504bd0,0,52380387352394199079987119065441062208606872844472492095893554486388413066858,3889700000,4010000000,0
74990128,0x2758c844af4663d986df826c1ae2e545d55620ae7cf7f927736707ced2bcc985,1046,CTFExchange,0x288558309be40fe5579e2777690fceaa06463f786f7bbb173f3585bcfad4623f,0x9f230af9ec25497012b268113006ea345a21bfe3,0x8c6836b69ad1c108f6581ad2e7b6763317504bd0,19064563760625521154651506908533262498337773829534251054187490374105269451714,0,7500000000,225000000,0
