block_number,tx_hash,log_index,fpmm,buyer,investmentAmount,feeAmount,outcomeIndex,outcomeTokensBought
15990794,0x9809283e9b34c14b0d52ff11391b21919157f06805308edfd5f8c26956e15442,248,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x807a2d05e30d6bfb643a415437d4938c7d3e1d70,1000000,20000,1,98782418
15990794,0x8e57995bc3514e70c039caf7cc7a27106ceeb5b3f9b9468424c977c174865e29,265,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xe834edad3c89e41243c796d37f262541d65f6da5,50000000,1000000,1,3843386816
15990796,0x46c0602d1d0a0c9073b72d821b4ecf92c762d2d9dc70cf82f1920eb65db70082,310,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,5000000,100000,0,45753599
15990797,0xdf2e848caca5b9d7dd85bd5071cafb32a49bc22aa3724aabef9c34557ff5c385,246,0x76908fe238c47d6b0a864354c3e8e60e42c3d0ac,0x5da7346d021f21c415e51671a28ed8ab5a9270b5,10000000,200000,0,49909504
15990798,0x66e2d887f76e88611e6bcc6696a341d4f3d2b7a09fa765f60479dd609dd6c9c1,271,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,222000000,4440000,1,6872602002
15990803,0xb67e9a987581f690c6236175d58e5020f86a3f946ba0ad25607c5120d40c266f,539,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,12000000,240000,1,189134746
15990823,0xfdae530c931d6a7f562a9f335c25d246a264aca48e56398f14f444600646b884,721,0xc33cb94861d63c47fdab2419f82ba54aff667540,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,8000000,160000,0,95291361
15990866,0x59a070bbbaa2b95e61f89b650f6050f32486af505e8b210b81436d7e8516b44e,708,0x514e63f5cc8a03d4afcef8c67770ec733409171d,0x1ff2f3c12db9618337fa32079b89b2f550174702,2925000,58500,0,20002206
15990866,0xb96ef1452af299cb8650479bcbe052275de070a626b0f8476d077a6c073fe985,725,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x17d52f570a5ffbe528270700aee3634bc23396db,500000000,10000000,0,514334313
15990869,0x4fe9f4016cd978d8762016e124e9e3f846b1e628a625f5e5efdeeb74aeb3f4f9,307,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0xf97da6616e2fbcd998b2aeb6ec72faa0b7725ed0,5000000,100000,0,26502742
15990911,0x396a99f4340501516baefd88b19d972edbeae4c11d262e7b8fbbb3b86fcc94b2,283,0xc33cb94861d63c47fdab2419f82ba54aff667540,0xf169d14ab5bf40e03c2ffe9f91e5f1288b8f371a,2000000,40000,1,2187201
15990931,0xa2922fdd00420a2c0a358ccae6603b97025898bdd45c7f6dbf6a8f0f67e5817f,170,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x903221b1098263779ae19486028c844e8c338717,20000000,400000,0,75445450
15990954,0x15c729be8908c7f74e22130404e78b1c5a36b065cfc28ce83807e8b075c520bd,528,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,50000000,1000000,1,63419355
15990955,0xa505836facd9301f520da28fd887d3179f4f6c4004d24992fa59fb56cbd851ce,323,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x807a2d05e30d6bfb643a415437d4938c7d3e1d70,100000000,2000000,0,100295767
15990962,0x6b163448d1e0ed6f4001945ccd9b6e412a348e9fd480b2deb807ec61bcc32818,258,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x903221b1098263779ae19486028c844e8c338717,100000000,2000000,1,113013561
15990967,0x2ba8cc4f49cbee02b54d2438fc907e1ab45cc3408fb9ca48811b531265fdf01a,165,0x392845b73fe8975cb2bdf9cf09af0811fc6ee9e4,0x932e564acc849074725204b8925ecdd41ec06903,100000000,2000000,0,357900874
15990979,0x9d3fbd1ddd539a09aac3a4679df1734fa2287e01d27d361582ce0b482a14ea78,151,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0x4cc3522b689a6bf1fb4a2444c523e7776db47552,125000000,2500000,1,325285635
15991011,0xe6911374bb74d7d3804b82d2d219d800c43a5ea09b3b97898e3781fc5c93075e,586,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,10000000,200000,1,1204495492
15991025,0x3b654f2874361a87ac35e839cb063422bd0e444c5474f36b9987f7cf5b7bf830,528,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,10000000,200000,1,1167479710
15991034,0x5cf0fcd2f4bb4827a6e8b845855d17bb44286fc7bf7f836475d32da3792bafce,128,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,10000000,200000,1,1037301943
15991052,0xed8dbb166981cef64eadc7c126454e9a3d7e8569ac2cb9a3a7bf4689403c0cbc,584,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,10000000,200000,1,927912554
15991088,0x281abcdfa4e1521a2e40a93c05f5e3c6cb0795c19ba28486b956b08e298c198e,472,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,10000000,200000,1,835108929
15991088,0xa2eb348b56d33487f0540fb75e401f1b299c32869bea3cbed2c7086860384aca,533,0xc33cb94861d63c47fdab2419f82ba54aff667540,0xe834edad3c89e41243c796d37f262541d65f6da5,500000000,10000000,1,511055894
15991124,0x52d183239a29c960c610eef46c78c177475a5e0ec8bc15a7937692f2bdb9d185,661,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0xf6129c47f5ef4cab25f3aa67b5e3aaac77b15700,100000000,2000000,1,260574098
15991124,0x7223dcc8ab190068ae440abbebe79ea7cb5b5fb39a644eb535a30922cd296273,675,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,14000000,280000,1,1038263223
15991150,0x00eb9dd088f89dda08ab8e2e51a842263f09d7ee34c7c1e32fede07962ef5cb3,159,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0xf97da6616e2fbcd998b2aeb6ec72faa0b7725ed0,22000000,440000,1,22478806
15991156,0xc3901963bb5326123fc8cd4067df056df360b8b44c10d757a89dfb23f6f1bd7f,172,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,25000000,500000,1,25450711
15991181,0x7e74fc6fd1e1ac043e2f8f5bc3752912b8a19c9635ba6429edad1362c1d09283,268,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0xe834edad3c89e41243c796d37f262541d65f6da5,300000000,6000000,1,300916856
15991222,0xd50bc52f0e016be1ee0b08c2a838523fcf46f6fb3d5ac32848f842230fcae111,135,0x587dc5df0c8dcc5663e21e738704274244590c5b,0xf169d14ab5bf40e03c2ffe9f91e5f1288b8f371a,3000000,60000,1,4511989
