block_number,tx_hash,log_index,fpmm,funder,amountsAdded,sharesMinted
15992435,0x2bac5b85dbe56e85b6b55a7be1bd43a8f6759081d296215c634337f707586c90,636,0x907a2cf154e58c78433a46fc8b897fdcad230ea7,0x1d330b1a2d9b29937121c912f39b45952ae891ad,"[389654221, 7088342]",52554753
15993126,0xb85c07b50ccfac336f078cc58e0d52b6304855c1012a4ba4d23476c5d0632d36,757,0x45a9e47fd6c5f42716279bbd0447bbf98831c811,0x52b778f39b2f97aa3f826dc53e7ac48a10535bf9,"[250000000, 157016548]",198126567
15993173,0x598a5dbe3474ab0e0b767cea49043f40c05c2d3d238165cadc6d35530b75abb2,582,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x932e564acc849074725204b8925ecdd41ec06903,"[2000000000, 104737330]",457684015
15993904,0x82fdef7edc763819680aac2abe5b8126cb99dcf660a699329f05344ec67182c4,270,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xb1f56fbd81db030502d7cd1bbea695aafbd1823b,"[15000000, 861443]",3594669
15993958,0x48dac0c0024ff650bc432f5bd5bd8bcd0431efd5332e435ed55336b4a1ab8bb4,243,0x556bff326df9957821173d8045a82f7cb4b2da71,0xb1f56fbd81db030502d7cd1bbea695aafbd1823b,"[10000000, 915376]",3025518
15994298,0x1d3c25b4b3eba4d69e3a3ef55876ac6fb87713734cf523dd272d330e5b6a2fae,643,0x54a471f1e85c1a3d5ccbb7ef9ab184044ce04707,0x8ad5a4a650183f9d214a09852eab0a100b93da26,"[4316696803, 8629588619]",6103385639
15994312,0x643bc287af68d16162253e67aded46f8d492c467ad3fe6bc29372fb9565059ea,411,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x47c10ce32fb032cabced54c7227ab2308b7daf00,"[1000000000, 53526116]",231357108
15994349,0x55727dade3c88dec350b939dc64393c561829928cf36635b6c1e7d91151d9b91,372,0x7b4686a753e0e5a4e38957b9763a0e44d64f91d2,0x687349b551df31c4a330bbaf1519458cb521d9e5,"[250000000, 89384670]",149485965
15994491,0x2b2be56379fcf4589385cdd6af13ff6966996951df8613711ef57fe78c4b57e8,311,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[3100000000, 165930960]",717207035
15994495,0x6aca06935f6fe15ae2f68557f113c58464eaa70ad56fbd9043c9be57bd42bb98,183,0x4118072ea93496b4e09fca65c85bb4d0ca5ec4f4,0x8ad5a4a650183f9d214a09852eab0a100b93da26,"[201397916, 800000000]",401395475
15995676,0x93e90b16d3ca55451f01e8f510f1e7ce1ce9956a501280a1e8df569333414818,425,0xa7ea8f3508b04505f3ce719ba290af03cbdd4cc1,0xf6129c47f5ef4cab25f3aa67b5e3aaac77b15700,"[200000000, 81231548]",127461010
15995679,0x11d65361370ec3f9d54579186ad1f336ee0e1b9e99fc108e1d1239c6a5954d81,510,0x514e63f5cc8a03d4afcef8c67770ec733409171d,0x52b778f39b2f97aa3f826dc53e7ac48a10535bf9,"[500000000, 84393800]",205418833
15995681,0x72451c899e196fddf220fab6b4e32669f418d5d8e143c1dfbc01f379686370b3,489,0xcb513d589d3e3b463788fb2b764b7d5cd3aaaf3d,0xbb90ad2434c27716e987f6318df47285c6ddffbe,"[250000000, 29624600]",86058936
15995857,0xb1318f09ce8aa8f19ed34a285a596562e437bd7d7e5d634f092d30316c1a7511,346,0x656db0178f9bcb3f94864799950fb7e2d550e89b,0xcc2d99a9fbd62e7a703f995faaa8b2b377a78e94,"[50000000, 1381923]",8312411
15995990,0xa2b7004a78bcc07583deda5d7fb68f99be117af307402390ec7fd184ff4a6e7d,252,0x4568e4dc02ab786893f3f97c16e31faa836c8958,0xe46503c255c0354d6474db294837badbf149080e,"[500000000, 342365428]",413742304
15996271,0xa10794cda51bc6fcd6c46a78ceb8d315f7286dedbc61050e1e775dfedc94136a,382,0x514e63f5cc8a03d4afcef8c67770ec733409171d,0xbb90ad2434c27716e987f6318df47285c6ddffbe,"[1000000000, 169810224]",412080345
15996296,0x8671210bcfbb15e71284dd57113ff0e69a5dc0f7aa985946122a87bc95c0741a,266,0x2ad1254257d84b426688baf96941eab62af3d003,0xf6129c47f5ef4cab25f3aa67b5e3aaac77b15700,"[80000000, 938216]",8663555
15996474,0x43eed2a5ff4fe0edc0a655cd94466b85e5c1f2287515068ee69091a639741abe,103,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xf6129c47f5ef4cab25f3aa67b5e3aaac77b15700,"[200000000, 9262618]",43040954
15997582,0x7919c7e8cbd8fee82a03c5e22b478aeb6239a9e6ae70f053e401d5c1080d1759,335,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x6c3aae17140c5e3cde62380daaa323e38575c459,"[50000000000, 2264008154]",10639567943
15997582,0xd352ac2b5f2673d78346c2f0fd24f33c185e05cfa9ae49a0969fa62ae05c4b1e,447,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x807a2d05e30d6bfb643a415437d4938c7d3e1d70,"[5000000000, 226400815]",1063956794
15997647,0x3a99299fc5da9512b7e0fe682c820797e387f6317c30e9038cf56cedd71be748,474,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xf6129c47f5ef4cab25f3aa67b5e3aaac77b15700,"[1500000000, 67920244]",319187038
15997833,0xe2d355312b9d7f2b5f8dcc2acd8a8ef2cac3470efa60f29bb7975b65e4f49256,625,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x72dfe24820a5aa4037c7f746fd27f433e973387d,"[7000000000, 303575056]",1457746672
15998733,0x41fdd3b690170b2ab5a8ea993eff2efe976fe0aee6fec8f7b9b8e3ce3c43345a,612,0x392845b73fe8975cb2bdf9cf09af0811fc6ee9e4,0x52b778f39b2f97aa3f826dc53e7ac48a10535bf9,"[1003957685, 54078057]",233006602
15999159,0x862a1a9841b0061de9596f8562d9d9798e239b7e57b63e6256b8fd2e3b757598,126,0x656db0178f9bcb3f94864799950fb7e2d550e89b,0xf6129c47f5ef4cab25f3aa67b5e3aaac77b15700,"[200000000, 5479263]",33103663
15999411,0xb6c81e382944158850b10a3c601199de6a571c4d6ac9d4035a9de8517a8b8920,114,0x514e63f5cc8a03d4afcef8c67770ec733409171d,0x7789806c754eb0af4c3abeb026c218b4ba78f823,"[2000000000, 328832283]",810965176
15999540,0x71e85d97e3648d9706cbbc0ce77ab7779e093c1542b6d6dc18aa25a9092a0bc2,192,0x514e63f5cc8a03d4afcef8c67770ec733409171d,0x4cc3522b689a6bf1fb4a2444c523e7776db47552,"[1660000000, 263301328]",661120391
15999557,0x4307b2445e792c38480e3a8082b5f5266a7962cb70444590493dcfe9decc2444,101,0xb4bb481aa3e7925384619180b71bbc482420c9f3,0x346e6264495004ff771285fdbf7f59c28cabb0ed,"[2169814, 63539331]",11741742
15999601,0x4df886f080e12787ce27138fc07b93338458c61e8fdf7280020f5ccb4b1e2d69,141,0xb4bb481aa3e7925384619180b71bbc482420c9f3,0x346e6264495004ff771285fdbf7f59c28cabb0ed,"[351364, 10448279]",1916025
15999685,0x6e1b1a6ba303b93144ad8a8bec9c1d45216fc514438aa599b43387c41cf4d7b7,196,0x4a740a0d4bdd77060765b972423d04fc8eee6100,0xb1f56fbd81db030502d7cd1bbea695aafbd1823b,"[20000000, 393984]",2807079
