block_number,tx_hash,log_index,exchange,takerOrderHash,takerOrderMaker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled
74999305,0xc30c82b67e257602afa148af8a6b4025c2569f60b4b70a4c781fb2ac3715c993,510,CTFExchange,0x46165485a2f41d94183986f9f0fff5f96d263fcdf12b18ad5aba5e0141ff3d62,0xd883267f7965f34b8c8a0cdf5bc5385302714fd7,40002229164980872406791559871660845962792562539129923127376568531682970707080,0,46000000,43562000
74999305,0xefa474249dad6909586d1b34f84c1732ee0d5cf3586dfc8cedcdef2409ddd19b,524,CTFExchange,0xc5268434b60ffff965d098a7d06501d46a9c35e3909fb0c64a8f66c85ca0f0e1,0x9155e8cf81a3fb557639d23d43f1528675bcfcad,0,40072134336336917408867947002109433127151006011182327474632337648882325098926,1850000,3700000
74999305,0x88c60b177c24e8ee527b3c4f26ab1f4f35c81c9aa9835dece3ebe7d869756061,539,CTFExchange,0x9b5f4909c8d63de326ef893b4c992904b40e8356d8b22feae3d586b9ccfdf5e1,0x9155e8cf81a3fb557639d23d43f1528675bcfcad,25325738362689804237984323122363313235486193372151302685509624772081976194532,0,7000000,3710000
74999305,0x6664ff630bf6a7943446c8d598c9a0c13d983048663c2149ae9ea387ed6bd46e,575,CTFExchange,0x432f48fdb479f4be7fc90b5516cdf97aa6895f4a001b25b787350f65c6127546,0x68a7047c014bd0e18327404a2f76fa19ad9adf02,0,26480853477381663372262321107570757497934562472271926546030365141106489633458,59272200,116220000
74999306,0x3b1ab6918445246a5f49f36ad92579eb00d38931196d69ce541277d703b412bd,294,CTFExchange,0x1eec81583b55fb696b074c9830d250bc7a051a26fda49a01dbb2e61d0df625b1,0x14fe1af09048acd90a447fb8527c695086e7e5eb,0,20985429954197569958698305130803370735196249847480391235068580072284758773693,59999999,117647057
74999307,0x547020f740416cfc9ca2a729dea2c122f1736243e7ed4182518d3c10d0caf2ea,356,CTFExchange,0x7c14bb1da683bf6498e7777126c055510f73c5098155c797fe71e946fc3ab805,0x9155e8cf81a3fb557639d23d43f1528675bcfcad,0,40072134336336917408867947002109433127151006011182327474632337648882325098926,7570000,15140000
74999307,0x16ba7ff1e1456038e4ea57774c73360948118dced25e55b79d768558bbdc7944,365,CTFExchange,0x19901328c88224b5caedcefa4ad57327b1f1c5671cd2b29f995ec22ca00dc11e,0x99cfa7d4168bcadcf498c8ea07eb8fd985dca1fd,60652137523181125168482146963718096562535021607381944009168391719481583056075,0,21970000,21750300
74999307,0x48e9aeb5a7ea9d70e989296ec046c5262ee8e2d8b4007dd5eaf14e1fe0065064,393,CTFExchange,0x0f9d992265b132aa4435611dbd5fb269f6955d8cbed72f6717e11d0574c19ed2,0x01df9aaec5b61c2d3b933f43b0f74fe0726313e8,73818329683676406597262402030740465055390239315746623573657468414401015880216,0,4700000,4653000
74999307,0x10ee2654c08fb264eda60bdb049c38ed67c648d0e914e2851ab4c163c5ff4d28,407,CTFExchange,0x96e0cd1187c36714f17592d1d0b1dfaa46678b6101a215f387d738b5533ccc82,0x90b6a428d636ee98b22973f3c74b250993391d6b,0,20985429954197569958698305130803370735196249847480391235068580072284758773693,51000000,100000000
74999307,0x2841aa7aa7873a8adbb8fa4aa5c3eb9075572616158a6c3a9303c590175c105f,420,CTFExchange,0xb6b6f6cdb8fb2a063c74429c78e64e92e1aee549cc62b4a951ad24703d255ebf,0x958d9cd4068fa578781073c2d66099865e543501,40314666630270199948617708179196809729468470728992516088417142092585805813924,0,55000000,42350000
74999307,0x8a56d347d4550ebfefec9d9065d7b10c83af6e7683229bf679c76af7e96d416c,429,CTFExchange,0xba59c2353678d82e578293508cc4b5a1f6c2d9ae2e7c7a3d3157640d919685ea,0x32526c1de010a670eed9a5fbddacccb551c17830,19223821067995539689725238131327965978908673437052003090940519612544241365415,0,10000000,5800000
74999307,0x6275caa7a06cd569c1d5f7737e1d43f01daf8c963c68035e69767b3397a05462,438,CTFExchange,0xa2bb77405d121b44591bd59fd408d78f942111eb7ed37445ef3a6f8f242064ab,0x4d60112d79a1e1dd0fed4937f37f28d374a54127,72213402545998769711123636766651921655153165755936317649722665600548281920234,0,2500000,2475000
74999308,0x6996502a7cc1d604b14989ef980123f5652852f1c2f2a50f9fb5891175144a99,433,CTFExchange,0x920f98723d59a570255d7997fe44d4d57da4e95ebe8590870c094d265f758576,0x4ec8b568e9e5d92da0628f6fc68166a4bffe6ade,47753345801028802693310292252229180652744544493590446308119606128848577622015,0,328020000,327691980
74999309,0xc1d9cb4871cc0aef1e31fc495ab3d7f3a47e947e7022f547f0dc2ebafbf3dbe6,340,CTFExchange,0x12c405c852009cc9ab2ce62748096e39d7d4372470620f7d91f4942741c5089b,0x9155e8cf81a3fb557639d23d43f1528675bcfcad,0,40072134336336917408867947002109433127151006011182327474632337648882325098926,10780000,22000000
74999309,0x16e0b813613702592f48c6952654d0e5a270c2919d840c51617e31e77a7a70f4,354,CTFExchange,0xa194386c386ca3904c623ed7aa0b4b03e020be357c04b72377cad3f299f44880,0x8d3eb8cf3c1ae59c2f133c376c6fa1e2d37b3099,0,40072134336336917408867947002109433127151006011182327474632337648882325098926,4900000,10000000
74999309,0xb08269920d6067eb59514343784292a212871b483c136f3c13a1e3345f6b778f,363,CTFExchange,0xf1e456f060fd31f405bbb074a10c913ea359691dcb47efb028770ae85602be5e,0x4d60112d79a1e1dd0fed4937f37f28d374a54127,60652137523181125168482146963718096562535021607381944009168391719481583056075,0,1420000,1405800
