block_number,tx_hash,log_index,stakeholder,marketId,indexSet,amount
74995211,0x7b8faaa8915a75d6e8f2a728c297bc8be2ba1798fc73dd9c815c8d5701eb0dcc,502,0xcd91a549956854fdc38efad7e80ff5da8f5432b8,0xa69729ae3d9838ec5754e0f74bf57dedd5ddbecd9e31b15a04f48f081168ba00,511,205980000
74995224,0x76c9bd7cea5137b5ee3e7543476e9363b5ec4e60970befe67fed5823f8f9d3d2,422,0xa61ef8773ec2e821962306ca87d4b57e39ff0abd,0xa69729ae3d9838ec5754e0f74bf57dedd5ddbecd9e31b15a04f48f081168ba00,256,240819840
74995234,0x6fd5ef6ed023034b62272796206bf2a5595ee468550d3fd7a7a4e948d75b5e37,664,0x2a315a8d15cfde768bcd47ba5cacf3ef5894f2f0,0xa69729ae3d9838ec5754e0f74bf57dedd5ddbecd9e31b15a04f48f081168ba00,511,30030400
74995245,0x2e6065680bca74ea3f3a77c9b0131905657e50949e24376b41db56792f1ed8ad,188,0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c,0xa69729ae3d9838ec5754e0f74bf57dedd5ddbecd9e31b15a04f48f081168ba00,447,20000000
74995277,0xe228cc1070e67f43c01e7b278e2e6c56951803653622ac6e98850b0d1e7cac5f,67,0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c,0xa69729ae3d9838ec5754e0f74bf57dedd5ddbecd9e31b15a04f48f081168ba00,511,160010000
74995329,0x3d7f007ab1accee7ada40c5e644634b4ed8718cef75b3b310eda481fa8027baa,467,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0xa5e70ee6c9d6afd5f88c1c8281a64d659233bf4588785142e5ae07e1dd970600,15,300000000
74995333,0xb995640fe922439add599f5bf6e592b9c92b76872d58baa7f16e1df1a210c425,609,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0x7a02abdd212e54db130ebe5bed436ec233a53f332e6d21a4cb8e7db89c6dbe00,17655,442000000
74995379,0xd542fcd2d4b4c00118d6500244d3b86143677cc55d97994206d0ee986e3d23f6,851,0xcd91a549956854fdc38efad7e80ff5da8f5432b8,0xac59a30c1eb00658ffab6102c8053d4bf1ee367fa375e1859b9fffa39279d900,2047,5130000
74995386,0xbe5e9436e478b33d94e91a348a8383f1bda8e2a937227859290a878d6a0323f2,613,0x93fd1445c1d5307ebad91c43f3802a3e7ab77e2f,0x89c17860246d75b833836f5ef923d9599ee16932b593bee05a9b175d4c1e5200,2048,200000000
74995387,0x619c29a5bff1b6c3f2d79e6c930ffa336fe5d047402f9c890559ff6eb3751134,597,0x8e9eedf20dfa70956d49f608a205e402d9df38e4,0x7971728ccf4866d610621f7b8af18b78c1649e6f2c28ce2073d54af61be42600,64,131520001
74995395,0x6381e516a39dc2502c5bd3bf58dced4e3a9d1553eae67476a0fa3bb2de41de98,433,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,0xac59a30c1eb00658ffab6102c8053d4bf1ee367fa375e1859b9fffa39279d900,1024,561000000
74995423,0x97d4565478c415227cb922448f831a9c3817544633a1b92b41c3c54049278093,723,0x8e9eedf20dfa70956d49f608a205e402d9df38e4,0x7971728ccf4866d610621f7b8af18b78c1649e6f2c28ce2073d54af61be42600,64,46090000
