block_number,tx_hash,log_index,conditionId,oracle,questionId,outcomeSlotCount,payoutNumerators
74994552,0x1559478f2b75491de493db180ad573d3c0a0f7818b7cecd732fa656df118f9fd,8,0x5fb5774034a2c8a2d25a62e3ed2ffb0e6737a09ca2d49c8d0cbf8e362cecf095,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db03,2,"[0, 1]"
74994580,0x96cd82634e4b1b98f816d6f552d53bef51b04e6b3dcb9da004a980a688083c91,2,0xbe606f496f440830e72f2510cebbe4846a537a268328467ec9964c25832fca9f,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db02,2,"[0, 1]"
74994580,0x4175d2d50c16a25abcd1c6b903bd96dfae6c5bdfabc5ed48af8bb1826e2f6918,6,0x85ed517c85d593e57518f7c63b872ca12d6c68ad6d57c451325603b85a8b9ae0,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db01,2,"[1, 0]"
74994581,0x9f0678a31c9ac8eaa8cf95a79f453d43467a72dd32d101c5367c07f570cac8e3,0,0x512f9105fea517dfb145360cbfd8f8e4ee7199bc5d85d43eb57ff11be8a6fc2d,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db00,2,"[0, 1]"
74994642,0xa5444dc924d0a8df25f155a89279d731a574448e40631fbcc5b017439c895aa7,627,0x8f48855e451e0dad6a062d849b55902d44efe65dd092c909b59e8fb5e545d060,0x58e1745bedda7312c4cddb72618923da1b90efde,0xc83ce7d3852acf877aa94b00b21159ac867495fc90b48610bd855107348f671f,2,"[1, 0]"
74994643,0x2cff0d9f9faf3e728a272884181036bb2f53811b1ffb677d5d1c2338cd800c4e,684,0x871a52aa316c30b966c88339d6821ca07649d437ce658d1b1a241f6e012acf38,0x58e1745bedda7312c4cddb72618923da1b90efde,0x64bc80833037f4b96fad7c34ce0448b045b53f7352cdb49b289a648a14e51b4c,2,"[1, 0]"
74994871,0xdbdf50cd556c06105f2c9cf62192a01c0ca40c94b63a4a3afd866f9170d5024c,5,0xc7d60c56475c58c1d361fbc65f9a83cd6d25603e9e258774dd9128a44ade73bf,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x1a79a9345f63f34bffa229b5594c5cd58bba4175b5c28699633da99ab2dc08bd,2,"[1, 0]"
74995065,0x22cbdf1caddbb90147b827f77533e5e77484e35c1bcb6cda0f6701ce0f6548e7,836,0xc8460e55f18b18e10d48da92f53005c17a789abeb64b8acc03718186a55b5f24,0x58e1745bedda7312c4cddb72618923da1b90efde,0xfdba92e9c1f461e88f7d1660d51d9743c6142192c5f0b4ec4c020c26da3e9ad6,2,"[0, 1]"
74995066,0x3824e5cca0519d0c53e5e6c9ed14c4f6f885d6f65b59ad6619c612ade8adbc9f,1156,0x48825e521e0e0e5032f26ccb390574bc6061ee306fb8266c9bdcc83f604e9aa7,0x58e1745bedda7312c4cddb72618923da1b90efde,0xf32f182ad144b5d409132bcec47722a3668dbbf40777659048303c27cce19fc1,2,"[1, 0]"
74995200,0xee5446356e30e07a937192c868a5e35f58f09c4aedc8944be44579c1564948e3,967,0x8f648fca5d2b5e9d896f09e8e88c7cfc4ed64dc632d623381015b7a5fed42139,0x1754f0f64de768f3c7c5f9335ff1129db2c14a40,0xfad249f80e51f46b916b886d0a37761d3f12ec2add7fb47841df94efe412e637,2,"[1, 0]"
