block_number,tx_hash,log_index,marketId,questionId,outcome
74994551,0xbf9e7f7a61f6a59ccc4ab79a7fb64e618d9824915784176d8dbfeae80c4919c5,3,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db00,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db05,False
74994551,0xfc77755775dbcbdefc1ddc17cb59c357d0077c46d125dcfb9f39f6ff1c64a11b,7,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db00,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db04,False
74994552,0x1559478f2b75491de493db180ad573d3c0a0f7818b7cecd732fa656df118f9fd,9,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db00,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db03,False
74994580,0x96cd82634e4b1b98f816d6f552d53bef51b04e6b3dcb9da004a980a688083c91,3,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db00,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db02,False
74994580,0x4175d2d50c16a25abcd1c6b903bd96dfae6c5bdfabc5ed48af8bb1826e2f6918,7,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db00,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db01,True
74994581,0x9f0678a31c9ac8eaa8cf95a79f453d43467a72dd32d101c5367c07f570cac8e3,1,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db00,0x1d106c2277742813cf8aecd912592094ffc6e7d6a29822ead992a5f2a314db00,False
74997710,0xe9b2fba67463a0cb66278eff18e6443414e01abda5f88df21202a36de7891096,9,0x818119ebb99f0afd13c25b6704ef0e8e78d1fdf051be28f58ae9ef2f51cde200,0x818119ebb99f0afd13c25b6704ef0e8e78d1fdf051be28f58ae9ef2f51cde204,False
74998450,0xe4f0bae780475de10302574164183e3f034fc636ff74b43b3968c82c93f63497,3,0x154aa7d4f4e5e7dee1604ca6f88c0964a5f0e7f13ec9ffd896b9e12a47a26d00,0x154aa7d4f4e5e7dee1604ca6f88c0964a5f0e7f13ec9ffd896b9e12a47a26d00,False
74999328,0xdfcecc0299ccd2db861195b38b6e76f8e9187802cf5b12e8919e9d32e2c1d752,40,0x154aa7d4f4e5e7dee1604ca6f88c0964a5f0e7f13ec9ffd896b9e12a47a26d00,0x154aa7d4f4e5e7dee1604ca6f88c0964a5f0e7f13ec9ffd896b9e12a47a26d01,False
