block_number,tx_hash,log_index,exchange,orderHash,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee
74999047,0xcb3f0cb68934051ea7724956baf130ab8ea9eb0712037d2f3ace3ebde283f1e9,322,CTFExchange,0x4d5d28014686863491b47fa7956a4676a3c3ca67c564c39c5648dba08a248608,0x3d2d66eb933cfa7aa7b9fc21e6614f080de99360,0x9155e8cf81a3fb557639d23d43f1528675bcfcad,0,46685345893884415773039836192245313503885999822522989522201052381949274399151,3570000,7000000,0
74999047,0xcb3f0cb68934051ea7724956baf130ab8ea9eb0712037d2f3ace3ebde283f1e9,330,CTFExchange,0x6719444579558b0beda894eb1645f798f62debfeabeadbe1b94cf4c71d7ef841,0x3d2d66eb933cfa7aa7b9fc21e6614f080de99360,0x9155e8cf81a3fb557639d23d43f1528675bcfcad,0,46685345893884415773039836192245313503885999822522989522201052381949274399151,18870000,37000000,0
74999047,0xcb3f0cb68934051ea7724956baf130ab8ea9eb0712037d2f3ace3ebde283f1e9,332,CTFExchange,0xdfa37073e1e061225a533f361d075d7e9ab39c60ea08f4a83eb14bdf3da68f89,0x9155e8cf81a3fb557639d23d43f1528675bcfcad,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,73818329683676406597262402030740465055390239315746623573657468414401015880216,21560000,44000000,0
74999047,0x683e4ec97c918e51db55607bf066c298fa0550623823aff4f732179768fc5f57,344,CTFExchange,0x6f4a42c2c99f86bbc45b2b923c2bc7bfd75ec91be3f1a8bc98e39a19bdaa1187,0x15691449477aa15e72cdff51c7b6687b58bc4e0c,0x97e12cc7391a50e49042b44a2d4a0cef54c8017b,0,45268984206528684008656138445174696487413496817965370072225934538822928904287,222000000,300000000,0
74999047,0x683e4ec97c918e51db55607bf066c298fa0550623823aff4f732179768fc5f57,346,CTFExchange,0x856671bb04412bcffae895c671a53d56d420cd0342f94e80c6f152c7f6c039dd,0x97e12cc7391a50e49042b44a2d4a0cef54c8017b,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,113978805798102557265452348965535499887600425153284104746797977930434676866992,78000000,300000000,0
74999047,0xa0dc739a7ab83deee43667049ba1938e66c97c52e516d01d08f2b3ed847241a5,358,CTFExchange,0x759e2f8c398cd15693bbf1d5dd6fda72aaf1390c1dd05b84c3907f21d6ac1912,0xfda88075fcd7c881d8aed87e8de9eaf3ea379291,0x7879f424c66a95da509395018a3b3089ee7a751e,0,54737558260404525405572384430471789437147374222311043010492297174036867780816,2000000,5000000,0
74999047,0xa0dc739a7ab83deee43667049ba1938e66c97c52e516d01d08f2b3ed847241a5,366,CTFExchange,0xd187066b4172f00f7767e2303edced890e4008ed0753fb3a33e2b030da6189ff,0xe65466b0a46e1f148b80171d709051d729293b94,0x7879f424c66a95da509395018a3b3089ee7a751e,0,54737558260404525405572384430471789437147374222311043010492297174036867780816,1918032,4918030,0
74999047,0xa0dc739a7ab83deee43667049ba1938e66c97c52e516d01d08f2b3ed847241a5,368,CTFExchange,0xd73facaad4d2c20c26d6b67cf6a62654616ccad8dfa7cb22ede0532f72ac2c2c,0x7879f424c66a95da509395018a3b3089ee7a751e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,74251042998385759066740311324970287755356656259333096710320534391449216682383,5999998,9918030,0
74999049,0xea2e704d34a354c8fa174e47d65cf8f7de32d1e49c0250f9dd628892e03cc1e1,512,CTFExchange,0x6f4a42c2c99f86bbc45b2b923c2bc7bfd75ec91be3f1a8bc98e39a19bdaa1187,0x15691449477aa15e72cdff51c7b6687b58bc4e0c,0x97e12cc7391a50e49042b44a2d4a0cef54c8017b,0,45268984206528684008656138445174696487413496817965370072225934538822928904287,222000000,300000000,0
74999049,0xea2e704d34a354c8fa174e47d65cf8f7de32d1e49c0250f9dd628892e03cc1e1,514,CTFExchange,0xb175ca67bc97ad1e875842505afe493970f57ea9247eaedc312ffececa5230d5,0x97e12cc7391a50e49042b44a2d4a0cef54c8017b,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,113978805798102557265452348965535499887600425153284104746797977930434676866992,78000000,300000000,0
