block_number,tx_hash,log_index,fpmm,funder,amountsRemoved,collateralRemovedFromFeePool,sharesBurnt
15992985,0x46bebf320dcd9cc1312b256bf46155d630cfa1272553fff9d66a6b2e66b70fd2,291,0xd1278ee91633a063e24681bc728223a1a70dac03,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,"[534435028, 7484539655]",70,2000000000
15993118,0xab4e5035e6d49bb8d018a83d79446c818d5c17172f86e1cf1c0fc29ca90b07b2,380,0xb4bb481aa3e7925384619180b71bbc482420c9f3,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,"[107741961, 3000122222]",1301,568541137
15993126,0x6fe8420f3e0356f8831c3cdaadaa576da74ffc01108adc298ee6d8079f16afe5,744,0x4a740a0d4bdd77060765b972423d04fc8eee6100,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[1687541066, 37036138]",5348232,250000000
15993136,0x4d023eb20cc2e62304a304e25708c1948f796dde95cc4ef8307bd80e24327c5a,466,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[1048247885, 59623307]",1651842,250000000
15993161,0x836f4fd42b295dbcc4e8254b84720d0ced669449a8e8d243370fd4af4e367ccc,498,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[1061710610, 58867270]",348208,250000000
15993180,0x3676b6cbf4f0fc2af422ef7e83f7e7c131cc60a8c1561cbd88d5060899001205,404,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x932e564acc849074725204b8925ecdd41ec06903,"[1999999997, 104737330]",0,457684015
15993225,0x3d1a1f8652f9984394e4f0f225ebb29d24ee18282b20fccea074fc6e1626a861,325,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[645327883, 34866000]",333631,150000000
15993273,0x46c27c8adebb01f0905f1c6b0b593eddeb8a1925ff4d3fee924447bac9cda79e,191,0x4a740a0d4bdd77060765b972423d04fc8eee6100,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[1733132907, 36061865]",175392,250000000
15993747,0x1a5668c3fa8322895298d0ee6912df16074ea5b9f73746c14b0f4e68d5d874f0,468,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[1489709218, 85552945]",1181699,357000000
15994049,0x1e502d2de85cdc1a9592b226850c3cc244f81eea34f753e5bcdda397766a3548,81,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[850531473, 47029421]",449823,200000000
15994125,0x4c3227cc9d8b82ff7dbf66a2ba216e01e0547bc019281f89e6b2b4d90d65cd69,148,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[429883527, 23262116]",242497,100000000
15994376,0xa39c7f89e6fe45b1b57510ee65ba9a70b0836f67a07a03e79982233cb00ebe09,126,0x7b4686a753e0e5a4e38957b9763a0e44d64f91d2,0x687349b551df31c4a330bbaf1519458cb521d9e5,"[250072770, 89358659]",1485,149485965
15994388,0x2d759356047da7afb4f3e27cf890eed7bb41f2a1a4559f70e38f13a655fc433d,377,0x54a471f1e85c1a3d5ccbb7ef9ab184044ce04707,0x8ad5a4a650183f9d214a09852eab0a100b93da26,"[3536313333, 7069509555]",0,5000000000
15995680,0x0fe88a0f7e9970a7be78ed5ff644267c1057ad1a21eb4291f121a35facff773f,503,0x7d362c6b397b16d0fafeb07ed381293c83d4bc7e,0x1d330b1a2d9b29937121c912f39b45952ae891ad,"[499403402, 105204912]",4082342,229215375
15995729,0xbbd116e63e9f2a9a436cf63a99766ed45afe708d21787e4e766009209ced1194,282,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[1670980158, 95752192]",1005870,400000000
15995789,0xb2a44180ab50caa1e2202c2507638d0282473f742252b21dad8f2b6d0366d497,505,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[635413842, 35409996]",665128,150000000
15995869,0xa0e8491023ef05c169bd837965e835e0857ba99af11480d1a7589dfef5041b0b,127,0x656db0178f9bcb3f94864799950fb7e2d550e89b,0xcc2d99a9fbd62e7a703f995faaa8b2b377a78e94,"[49999993, 1381923]",0,8312410
15995934,0x0df5e8380fc93ae0dd1665b94c7a9e8aa43c4ed3a6774d8b4a550a53d36e4913,235,0xcb513d589d3e3b463788fb2b764b7d5cd3aaaf3d,0xbb90ad2434c27716e987f6318df47285c6ddffbe,"[242018759, 30601553]",16659,86058936
15995936,0x866d159ade01f4d68a8aa1a5363e4b498adbc4282b73696510fdad9ab3217de4,344,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[713081930, 39110516]",182227,167000000
15995988,0x9d6f68fb42c962f31fa05d2dd2fe067a2e456c85292e4ab34bfd3fbfef3f109c,207,0x63d3a25277f0cd81dfb816549bb3e80afe4c573c,0x47c10ce32fb032cabced54c7227ab2308b7daf00,"[266063826, 6165356070, 38879890, 36389764, 0]",890707,4533181
15996000,0x02f19616998622c1dd2fbf3b8dd0b3c1f3e4883f40c39572ac25c32fb594347e,256,0x4568e4dc02ab786893f3f97c16e31faa836c8958,0xe46503c255c0354d6474db294837badbf149080e,"[499999997, 342365426]",0,413742303
15996202,0x9684d386e6a597006284c932bdb66335fa82405fa26656b8956c637768cbef8b,289,0xa7ea8f3508b04505f3ce719ba290af03cbdd4cc1,0xf6129c47f5ef4cab25f3aa67b5e3aaac77b15700,"[199999999, 81231548]",0,127461010
15996281,0x795c64790dfe489a69bd63075db367b367a0c646711118a07fda5d1ad30ef544,401,0x514e63f5cc8a03d4afcef8c67770ec733409171d,0xbb90ad2434c27716e987f6318df47285c6ddffbe,"[999999998, 169810223]",0,412080345
15996303,0x0cbfb93fd89b9df82d538e3b3653b132da38396b0352c2892d040358b5782828,165,0x2ad1254257d84b426688baf96941eab62af3d003,0xf6129c47f5ef4cab25f3aa67b5e3aaac77b15700,"[79999995, 938216]",0,8663555
15996482,0xf220ae2ffd67d62b5710356e67337c001db4cdec6e1af982df7dfe38d3865e37,277,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xf6129c47f5ef4cab25f3aa67b5e3aaac77b15700,"[199999993, 9262618]",0,43040953
15996638,0x75cf70a8298024e4d7aa97b13afbf8e12cbbadd207901f782e0f57f50b89f512,305,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,"[2969851867, 160008307]",731060,689348190
15997586,0x944ba6164dade5e8958009fc148b09dd813b1ba82a37f5ddf0b38045d7ebf8c2,468,0x392845b73fe8975cb2bdf9cf09af0811fc6ee9e4,0x425045c67aa2f602a0003dc29d6375628e839088,"[875731518, 285846031]",18055112,500324263
15997732,0xaad8eceba852d2eb9cd50d2e77d78b0fc26ed61a5556a3a0ca61f28663d12a6e,588,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xf6129c47f5ef4cab25f3aa67b5e3aaac77b15700,"[1493723215, 68205652]",229,319187038
15997785,0x208e18f55e73ce2bf098443836af4e46f700ff9ef662d752895b9de07e2cac11,157,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x778f6b920f7b96b0a76b1711b495e429b932e2c3,"[3010700773, 166283162]",26458117,707551270
15997861,0x6e1eafd7c0a91b77dc5704b9806e368386191c8c058857909567952492886296,365,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x72dfe24820a5aa4037c7f746fd27f433e973387d,"[6999999992, 303575055]",0,1457746671
15998712,0xa40522cd75fe881563d572afbf1a44078d9b5f01dc650b1e6b6822daebe80dd7,580,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x6c3aae17140c5e3cde62380daaa323e38575c459,"[51753345267, 2187306098]",586325,10639567942
15998733,0x8888d9885464506ee438c8e49e8c99b98ed62ed3008a18d87e76f7d2caae8671,369,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x807a2d05e30d6bfb643a415437d4938c7d3e1d70,"[5180608537, 218507935]",62855,1063956793
