block_number,tx_hash,log_index,conditionId,oracle,questionId,outcomeSlotCount
74998038,0xdb3a5db79b957f74969b6e8f0387ad51bf6f3260c58b4e49a1f0a517e9db8d61,716,0xdd1c203caa9b0b7d9faaf9229f97590b3e2714b27f507b25be49efc7af0f1505,0x58e1745bedda7312c4cddb72618923da1b90efde,0x96cd5ad56df78fe14ff5daf1aa1c1ca3e1f8bc08d6425c2788b0937509e45cb8,2
74998040,0x4af1bf92e6852e98f23d146c240999edbf5ac4a7fdd80c8d402fccbb886f0b54,287,0x860eaf5f351562b33ad3508737e953d7430d890e020895dfdb6438ad68371413,0x58e1745bedda7312c4cddb72618923da1b90efde,0x0ab9b8ff2e4b31bb88b3837798fd3ed84ae5ae8b4c3ea72439e022297f86007a,2
74998462,0x524cd25f354a401f7a623901a723db150c6c8eff309be14e522226e4119cbf7b,946,0x2aeb52ec7b3b7ed1569606c27eccbd2094c84ef6ddf75fd5e91bcbc616a5ed77,0x58e1745bedda7312c4cddb72618923da1b90efde,0x75fb9247e1495b3329667685bdc94ea226925f6b821e83d43291ce2973706ed4,2
74998464,0xf6b173def9ba614d78394899e6f8716b032e180f409fe0a29269cfe80a5d870e,1683,0x5cf314eeebe65730eaf00fd7e87cb30322ae778057abe833c0079f55d1972832,0x58e1745bedda7312c4cddb72618923da1b90efde,0xa8c8383b09337fb6ee3f03ac42130f69125fe3cb9a34d11e30f449467710fe2a,2
74998885,0x985a9e49971a59489617c508639b7543f076b00e73df2bc5cdcb3c467542b156,1143,0x788870656c51569514d11996838ed79cafdd63575e907abf765bbad12ae18631,0x58e1745bedda7312c4cddb72618923da1b90efde,0x31affc6d4e0cf7f20d162a6e8f3464414c62a505a4f7f791ef4a03a5c23cfd39,2
74998887,0x42b52d318586b4cd3ce42be00171daa552c55e67cfdd2ca1904a71338421fcf7,1821,0x53521b24e3220f78fdc74f3218c552c203363ce43ae9628eef5e6db3c86caffd,0x58e1745bedda7312c4cddb72618923da1b90efde,0x61af56f650f2536774c8d2fc5164497fd1278506edbebe934944f4f75446c78c,2
74999309,0x917b0e257be710c198e334474d9e5ae75c57bccd50fdc0f0a559c9b3f8b60162,862,0x5ec983c377641b485869ff8faebc427d432ca6d0a97e9964505c0487a92dd636,0x58e1745bedda7312c4cddb72618923da1b90efde,0xd6208530fdbe1f799f98408f774683bd56c66c3edc3a7b121f68adeaf95375b7,2
74999310,0x060cdfcd12ed3a1aed2e0e126dccf904107444d63659d3ab58506ad087528865,310,0x8d59b9fa9953d731cdf988d2417d04f900d03974dd49deae9360cc70a1f0d982,0x58e1745bedda7312c4cddb72618923da1b90efde,0x2b24be6d8cb2f40c52e8bafd299ac7e91edb220b0a8ea4d0297307902be52be3,2
74999732,0x4d522cffff41bd6abe5374e0696acaadffe193af699de46de9aaddf4ec6b8bb0,338,0x0a76e281867c998e70e58a974e32ccbb0068d8b3121b519507f35abda95eadf7,0x58e1745bedda7312c4cddb72618923da1b90efde,0x386fff96959a158e49d5625f9af61f65a4ada80d0c36f67b67d6519ebdf18270,2
74999734,0x776d8bffb4fb8dffe7744e75bb45f54be062e0de840e7e48ce25bbc5e0763654,466,0xaa43a6fb6ba4d11c910ffba55a2d4214fdbfcedc9cfc6127bb4d43fdaf5c6fad,0x58e1745bedda7312c4cddb72618923da1b90efde,0x86b6771bf0fcf3abab94571f86d0f5cf6f201196a181a5959871e2d51e78c0b1,2
